ddt.unwedding.txt: 离婚
ddt.giftSystem.GiftGoodItem.freeLimit: 礼物全部抢购一空，请下次关注！
tank.mark.remainTimeTxt: (还剩{0}次)
tank.tofflist.view.TofflistLeftCurrentCharcter.cdr: 会长
wonderfulActivity.oneOffInTimeTip: 活动期间每个角色只能参与一次首充活动，奖励只可领取一次，一定要直接选择领取最高的奖励哦。
consortion.task.badge: 公会徽章
tank.roomlist.RoomListIICreateRoomView.titleText: 创建房间
tank.mark.hasNoTurn: 您没有探宝次数！
tank.oldPlayer.rewardTxt: 可获得库存{0}%
tank.tofflist.view.TofflistLeftInfo.no: 无公会   
ddt.cardSystem.Groove.Exp: {0} / {1}
wonderful.accumulative.alreadyPayTxt: 当前已充值点券数量：
ddt.cardsTipPanel.Groove.epdetai: 需要放入卡牌才能激活
civil.rightview.registerBtnTxt: 修改资料
yyVip.getReward.failTxt3: 开通会员后可领取，确定开通吗？
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.titleTxt: 公会升级
wonderful.accumulative.nextPrizeNeedTxt: 领取下级奖励需再充值点券：
newOldPlayerBack.anniversary.templateDataError: 周年庆模板数据加载失败
bagAndInfo.consortionBag.sortBagClick.isSegistration: 是否对个人保管箱整理后进行物品叠加？
newOldPlayerBack.anniversaryReaward.dataError: 老玩家回归奖励数据加载失败
tank.view.movement.MovementLeftView.action: 活动
ddt.cardSystem.CardSell.SellText: 魂值数量输入
wonderful.activity.infoViewText: 我这里有丰富多彩的精彩活动，别忘了每天来看看我哦。
ddt.cardSystem.CardSell.SellText1: 魂值
ddt.friendPay.txt: 好友支付
escort.frame.useSkillConfirmTxt2: 确认消耗{0}点券/绑定点券，将自身减速效果清除。
tank.manager.PlayerManager.player: <{0}>加入公会
treasureHunting.start: 迷宫宝藏活动已开启，点击精彩活动查看。
newOldPlayerBack.dayWelfare.rechargeNumDesc: 您历史充值{0}点券，今天可领取{1}绑定点券!
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.consortiaShopUpgrade: 公会商城升级
newOldPlayerBack.dayWelfare.getDowbleAwardTips: 今日充值不满足双倍领取条件，是否直接领取？
tank.oldPlayer.bindMoney: 绑点
tank.game.ToolStripView.cannotExit: 惩罚时间未结束,不可强行退出！
ddt.cardSystem.CardSell.SellText2: 请输入魂值数量
treasureHunting.end: 迷宫宝藏活动已关闭！
ddt.cardSystem.CardSell.SellText3: 魂值不足
yyVip.getReward.failTxt4: 开通年费会员后可领取，确定开通吗？
tank.game.ToolStripView.timeExitTips: 游戏开始2分钟后才可使用退出功能
treasureHunting.alert.title: 是否消耗{0}点券购买神秘卡盒X{1},同时进行{2}次寻宝
newOldPlayerBack.dayWelfare.getFireFlowerTips: 无法领取烟花红包，是否前去充值？
ddt.cardSystem.CardSell.SellText4: 魂值
newOldPlayerBack.dayWelfare.getFireFlowerGotoUsed: 红包领取成功，是否前去发放？
tank.bible.levelLimitTxt: {0}级开启
tank.data.MovementInfo.begin: 从{0}开始
treasureHunting.alert.ensureSellAll: 确认出售全部物品
ddt.cardSystem.CardSell.SellText5: 卡槽距离升级还需要
ddt.friendPay.action: 您的好友{0}请求您为他支付离婚费用{1}点券
newOldPlayerBack.enjoyWelfare.confirmDivorceTips: 是否确认离婚？
tank.data.MovementInfo.date: {0}年{1}月{2}日  
treasureHunting.alert.ensureGetAll: 确认把所有物品放入背包
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.contentUpgrade: 升级后可提升保管箱容量，目前可储存数量为{0}格
newOldPlayerBack.enjoyWelfare.confirmdredgeTips: 是否确认开通或续费?
tank.game.petSkillUseTips: 该技能已经使用
tank.manager.PlayerManager.contributionSelf: 你向公会捐献{0}点财富
ddt.cardSystem.CardEquipView.levelText: Lv:
treasureHunting.alert.MovieUncomplete: 迷宫寻宝正在进行，无法关闭
ddt.cardSystem.CardCell.openText: 解除封印
yyVip.requestData.failTipTxt: 获取会员数据失败
tank.manager.PlayerManager.contributionOther: <{0}>向公会捐献{1}点财富
treasureHunting.tip1: 点券不足
newOldPlayerBack.enjoyWelfare.dredgeServer.titleName: 开通服务
tank.view.store.matte.goldQuickExchange: 快速兑换
newOldPlayerBack.yearCourse.dateTxt: {0}年{1}月
tank.manager.PlayerManager.youUpgrade: 你被<{0}>提升为<{1}>
ddt.cardSystem.CardCell.ExplainText: 说明:每次洗点需要消耗3张卡牌，当卡牌数量不足时，您也
可以花费30点券完成一次洗点。
treasureHunting.tip2: 绑定点券不足
ddt.cardSystem.resetCardSoul: 卡魂重置
gotopage.view.LeagueShowFrame.title: 联 赛
newOldPlayerBack.activityRemainingDay.txt: 活动剩余: {0} 天
tank.manager.PlayerManager.upgradeSelf: 你将<{0}>提升为<{1}>
treasureHunting.tip3: 请选择您想要迷宫类型
tank.consortia.myconsortia.frame.MyConsortiaUpgrade.contentSmith: 保管箱{0}级，可储存数量{1}格
newOldPlayerBack.activityRemainingHour.txt: 活动剩余: {0} 小时
tank.newyear.loadRankRewardListError: 加载新年活动排行奖励模板表失败!
tank.manager.PlayerManager.upgradeOther: <{0}>将<{1}>提升为<{2}>
ddt.cardSystem.cardsRecordText: 卡牌收藏册
treasureHunting.tip4: 最多只能选取四种类型的迷宫
ddt.cardSystem.CardsText: 套卡切换
academy.rightview.freeBtnTxt: 师徒福利
yyVip.openMainFrame.limitTipTxt: YY会员信息验证中，请在{0}秒后再试。
tank.manager.PlayerManager.youDemotion: 你被<{0}>降职为<{1}>
treasureHunting.tip5: 请结束寻宝再退出
newOldPlayerBack.dayWelfare.oldPlacychargeDesc: 今日累计充值达到{0}点券,即可领取双倍福利!
ddt.cardSystem.BuyCardBox: 购买卡盒
newOldPlayerBack.activity.finished: 老玩家回归活动已结束!
tank.kingcar.addSppedTxt: 加速中，持续{0}秒
tank.manager.PlayerManager.demotionSelf: 你将<{0}>降职为<{1}>
treasureHunting.tip6: 请结束寻宝再使用积分兑换
ddt.cardSystem.CardCell.cannotMoveCard.Same: 此卡牌已在装备上
